corruption_type,corruption_key,level,scenario,model_pipeline,metric,value
Gaussian Noise,gaussian,0.0,scenario_B,ANN / PCA,auc_mean,0.98741
Gaussian Noise,gaussian,0.0,scenario_B,ANN / PCA,prec_mean,0.968765
Gaussian Noise,gaussian,0.0,scenario_B,ANN / PCA,rec_mean,0.975439
Gaussian Noise,gaussian,0.0,scenario_B,ANN / FS,acc_mean,0.942857
Gaussian Noise,gaussian,0.0,scenario_B,ANN / FS,acc_std,0.018906
Gaussian Noise,gaussian,0.0,scenario_B,ANN / FS,auc_mean,0.978122
Gaussian Noise,gaussian,0.0,scenario_B,ANN / FS,prec_mean,0.94803
Gaussian Noise,gaussian,0.0,scenario_B,ANN / FS,rec_mean,0.961404
Gaussian Noise,gaussian,0.0,scenario_B,SVM / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.0,scenario_B,SVM / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.0,scenario_B,SVM / Full,auc_mean,0.990196
Gaussian Noise,gaussian,0.0,scenario_B,SVM / Full,prec_mean,0.972631
Gaussian Noise,gaussian,0.0,scenario_B,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.0,scenario_B,SVM / PCA,acc_mean,0.975824
Gaussian Noise,gaussian,0.0,scenario_B,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.0,scenario_B,SVM / PCA,auc_mean,0.992466
Gaussian Noise,gaussian,0.0,scenario_B,SVM / PCA,prec_mean,0.975795
Gaussian Noise,gaussian,0.0,scenario_B,SVM / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.0,scenario_B,SVM / FS,acc_mean,0.938462
Gaussian Noise,gaussian,0.0,scenario_B,SVM / FS,acc_std,0.01916
Gaussian Noise,gaussian,0.0,scenario_B,SVM / FS,auc_mean,0.975335
Gaussian Noise,gaussian,0.0,scenario_B,SVM / FS,prec_mean,0.948331
Gaussian Noise,gaussian,0.0,scenario_B,SVM / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.0,scenario_C,ANN / Full,acc_mean,0.978022
Gaussian Noise,gaussian,0.0,scenario_C,ANN / Full,acc_std,0.0
Gaussian Noise,gaussian,0.0,scenario_C,ANN / Full,auc_mean,0.991847
Gaussian Noise,gaussian,0.0,scenario_C,ANN / Full,prec_mean,0.975914
Gaussian Noise,gaussian,0.0,scenario_C,ANN / Full,rec_mean,0.989474
Gaussian Noise,gaussian,0.0,scenario_C,ANN / PCA,acc_mean,0.964835
Gaussian Noise,gaussian,0.0,scenario_C,ANN / PCA,acc_std,0.012815
Gaussian Noise,gaussian,0.0,scenario_C,ANN / PCA,auc_mean,0.98741
Gaussian Noise,gaussian,0.0,scenario_C,ANN / PCA,prec_mean,0.968765
Gaussian Noise,gaussian,0.0,scenario_C,ANN / PCA,rec_mean,0.975439
Gaussian Noise,gaussian,0.0,scenario_C,ANN / FS,acc_mean,0.942857
Gaussian Noise,gaussian,0.0,scenario_C,ANN / FS,acc_std,0.018906
Gaussian Noise,gaussian,0.0,scenario_C,ANN / FS,auc_mean,0.978122
Gaussian Noise,gaussian,0.0,scenario_C,ANN / FS,prec_mean,0.94803
Gaussian Noise,gaussian,0.0,scenario_C,ANN / FS,rec_mean,0.961404
Gaussian Noise,gaussian,0.0,scenario_C,SVM / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.0,scenario_C,SVM / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.0,scenario_C,SVM / Full,auc_mean,0.990196
Gaussian Noise,gaussian,0.0,scenario_C,SVM / Full,prec_mean,0.972631
Gaussian Noise,gaussian,0.0,scenario_C,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.0,scenario_C,SVM / PCA,acc_mean,0.975824
Gaussian Noise,gaussian,0.0,scenario_C,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.0,scenario_C,SVM / PCA,auc_mean,0.992466
Gaussian Noise,gaussian,0.0,scenario_C,SVM / PCA,prec_mean,0.975795
Gaussian Noise,gaussian,0.0,scenario_C,SVM / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.0,scenario_C,SVM / FS,acc_mean,0.938462
Gaussian Noise,gaussian,0.0,scenario_C,SVM / FS,acc_std,0.01916
Gaussian Noise,gaussian,0.0,scenario_C,SVM / FS,auc_mean,0.975335
Gaussian Noise,gaussian,0.0,scenario_C,SVM / FS,prec_mean,0.948331
Gaussian Noise,gaussian,0.0,scenario_C,SVM / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.1,clean,ANN / Full,acc_mean,0.978022
Gaussian Noise,gaussian,0.1,clean,ANN / Full,acc_std,0.0
Gaussian Noise,gaussian,0.1,clean,ANN / Full,auc_mean,0.991847
Gaussian Noise,gaussian,0.1,clean,ANN / Full,prec_mean,0.975914
Gaussian Noise,gaussian,0.1,clean,ANN / Full,rec_mean,0.989474
Gaussian Noise,gaussian,0.1,clean,ANN / PCA,acc_mean,0.964835
Gaussian Noise,gaussian,0.1,clean,ANN / PCA,acc_std,0.012815
Gaussian Noise,gaussian,0.1,clean,ANN / PCA,auc_mean,0.98741
Gaussian Noise,gaussian,0.1,clean,ANN / PCA,prec_mean,0.968765
Gaussian Noise,gaussian,0.1,clean,ANN / PCA,rec_mean,0.975439
Gaussian Noise,gaussian,0.1,clean,ANN / FS,acc_mean,0.942857
Gaussian Noise,gaussian,0.1,clean,ANN / FS,acc_std,0.018906
Gaussian Noise,gaussian,0.1,clean,ANN / FS,auc_mean,0.978122
Gaussian Noise,gaussian,0.1,clean,ANN / FS,prec_mean,0.94803
Gaussian Noise,gaussian,0.1,clean,ANN / FS,rec_mean,0.961404
Gaussian Noise,gaussian,0.1,clean,SVM / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.1,clean,SVM / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.1,clean,SVM / Full,auc_mean,0.990196
Gaussian Noise,gaussian,0.1,clean,SVM / Full,prec_mean,0.972631
Gaussian Noise,gaussian,0.1,clean,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,clean,SVM / PCA,acc_mean,0.975824
Gaussian Noise,gaussian,0.1,clean,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.1,clean,SVM / PCA,auc_mean,0.992466
Gaussian Noise,gaussian,0.1,clean,SVM / PCA,prec_mean,0.975795
Gaussian Noise,gaussian,0.1,clean,SVM / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,clean,SVM / FS,acc_mean,0.938462
Gaussian Noise,gaussian,0.1,clean,SVM / FS,acc_std,0.01916
Gaussian Noise,gaussian,0.1,clean,SVM / FS,auc_mean,0.975335
Gaussian Noise,gaussian,0.1,clean,SVM / FS,prec_mean,0.948331
Gaussian Noise,gaussian,0.1,clean,SVM / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.1,scenario_A,ANN / Full,acc_mean,0.969231
Gaussian Noise,gaussian,0.1,scenario_A,ANN / Full,acc_std,0.008223
Gaussian Noise,gaussian,0.1,scenario_A,ANN / Full,auc_mean,0.992776
